epoch,train_loss,val_loss
0,1.511085,0.125050
1,0.092362,0.046358
2,0.058031,0.041946
3,0.051817,0.030265
4,0.047665,0.037520
5,0.052368,0.020271
6,0.042703,0.024583
7,0.045107,0.021046
8,0.047577,0.020465
9,0.038889,0.019909
10,0.036928,0.011506
11,0.037170,0.008257
12,0.036603,0.012794
13,0.036184,0.012137
14,0.032709,0.009803
15,0.029471,0.008470
16,0.035544,0.013880
17,0.033886,0.014235
18,0.032909,0.014798
19,0.032280,0.032117
20,0.039482,0.021291
21,0.039228,0.013555
22,0.026994,0.007535
23,0.027580,0.010404
24,0.031368,0.007395
25,0.025788,0.007615
26,0.021827,0.009095
27,0.024175,0.010934
28,0.024424,0.008027
29,0.020727,0.015273
