epoch,train_loss,val_loss
0,3.505247,1.107698
1,0.488779,0.328188
2,0.315219,0.266412
3,0.260028,0.209927
4,0.217535,0.175609
5,0.181200,0.187354
6,0.156371,0.129686
7,0.129697,0.139057
8,0.110666,0.091893
9,0.092705,0.075975
10,0.079504,0.063230
11,0.067336,0.055456
12,0.059654,0.042257
13,0.047788,0.039051
14,0.040839,0.030238
15,0.033973,0.018053
16,0.028163,0.016014
17,0.024868,0.009811
18,0.021643,0.059696
19,0.021777,0.010960
20,0.020274,0.004686
21,0.020142,0.003850
22,0.019390,0.009363
23,0.018913,0.004133
24,0.019197,0.005652
25,0.018332,0.004111
26,0.018356,0.003529
27,0.018359,0.006005
28,0.018568,0.003117
29,0.017662,0.003105
30,0.017838,0.024495
31,0.018106,0.004046
32,0.017645,0.003187
33,0.017546,0.018198
34,0.017947,0.005148
35,0.016871,0.031666
36,0.017452,0.002948
37,0.017412,0.002729
38,0.016698,0.002781
39,0.016827,0.007581
40,0.019380,0.001980
41,0.017088,0.001823
42,0.018142,0.003236
43,0.017030,0.001878
44,0.018105,0.002184
45,0.016581,0.003120
46,0.016358,0.002021
47,0.017797,0.022060
48,0.017166,0.002025
49,0.017052,0.001922
