epoch,train_loss,val_loss
0,0.710387,0.095790
1,0.092754,0.108353
2,0.083487,0.078251
3,0.072880,0.073927
4,0.067529,0.083873
5,0.065160,0.074251
6,0.063566,0.071326
7,0.054999,0.061100
8,0.057837,0.078805
9,0.053671,0.077569
10,0.052513,0.069995
11,0.048801,0.069059
12,0.048231,0.072564
13,0.048594,0.067608
14,0.046400,0.068739
15,0.047221,0.063915
16,0.043644,0.059033
17,0.043286,0.067013
18,0.046593,0.064823
19,0.045896,0.065800
20,0.039170,0.055011
21,0.045361,0.054053
22,0.037483,0.059881
23,0.039564,0.058037
24,0.039288,0.066926
25,0.039312,0.054817
26,0.035332,0.051731
27,0.035396,0.061546
28,0.035237,0.061300
29,0.035650,0.043587
